Metric,Value
route__antenna_violation__count,1
antenna_diodes_count,6
design__instance__count__class:antenna_cell,6
design__instance__area__class:antenna_cell,26.3424
route__net,12875
route__net__special,2
route__drc_errors__iter:0,4289
route__wirelength__iter:0,865465
route__drc_errors__iter:1,1384
route__wirelength__iter:1,861320
route__drc_errors__iter:2,1173
route__wirelength__iter:2,860355
route__drc_errors__iter:3,7
route__wirelength__iter:3,859307
route__drc_errors__iter:4,0
route__wirelength__iter:4,859305
route__drc_errors,0
route__wirelength,859305
route__vias,95583
route__vias__singlecut,95583
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1767.66
design__instance__count__class:fill_cell,28325
design__instance__area__class:fill_cell,237501
timing__unannotated_net__count__corner:nom_tt_025C_5v00,144
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,144
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,144
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,233
design__max_fanout_violation__count__corner:min_tt_025C_5v00,0
design__max_cap_violation__count__corner:min_tt_025C_5v00,21
clock__skew__worst_hold__corner:min_tt_025C_5v00,-7.515101642586114
clock__skew__worst_setup__corner:min_tt_025C_5v00,-3.0957250972250088
timing__hold__ws__corner:min_tt_025C_5v00,0.5309746126404002
timing__setup__ws__corner:min_tt_025C_5v00,88.84924336633398
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.530975
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,88.849243
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,144
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,274
design__max_fanout_violation__count__corner:min_ss_125C_4v50,0
